Week,Elective_App_WT,Urgent_Scan_WT,Objective_Value
1,7.0953752489900195,2.76188861286364,0.3491108890224879
2,9.579371863068046,2.771001725693727,0.3649091512461366
3,16.59387373669934,2.8381468837628407,0.4141227117079704
4,16.774150765784082,2.321709598010278,0.3578138686228726
5,26.239179020320055,2.842214156907358,0.4719871623963734
6,28.275163398724583,2.2369637326748206,0.4168560698927851
7,16.875332518852893,2.8154383761579065,0.4132748940900822
8,7.476197626931186,2.6830504740689363,0.34261789569177376
9,7.2705151565637545,3.477382261819045,0.42965268280070984
10,6.860403988206008,1.914436585308103,0.2535509141703805
11,10.990451126055895,3.564479875203373,0.4614726714078503
12,12.236664191765513,2.828960448812825,0.3871662256127276
13,10.3534816426775,2.2536025228464593,0.31202814723697264
14,18.544050958542055,3.4239871058824187,0.49082426747032065
15,13.25490026099686,3.3628926572777553,0.45255295553679536
16,7.703985872379408,3.4777067948600333,0.43226892485972235
17,9.545647780691466,2.777932348709949,0.36547848188458637
18,8.710309973148693,2.3143189971437894,0.3089936384117029
19,10.033803533485388,2.6775054392203477,0.3572256253904675
20,6.226322143338319,1.6558001635457187,0.22103923727891905
21,8.573391151269067,1.938702674791618,0.26644349849630516
22,16.08629960613585,3.552346209557392,0.49045691776512196
23,29.35784554202384,3.4960527265885153,0.5631993835615642
24,37.531846887953286,2.2307106268359242,0.47126058683863414
25,47.39237808383482,1.6006417099481887,0.45994656747738694
26,40.83189776970711,3.194748068472124,0.5980190181419847
27,40.42053598041951,3.110705807874877,0.5862324071076421
28,28.624739752379256,2.563050177329379,0.45516870870552173
29,12.844360903533593,2.387520130596852,0.3417345436984613
30,10.149493738632886,3.4798161282926396,0.44705988968310806
31,10.591128430630246,3.3590869044093314,0.4362743094024073
32,9.186506651146361,2.8995331541514964,0.37685193767048186
33,18.199571876349818,3.103645445071409,0.45318027887509593
34,10.995838472622813,3.353775762672893,0.4380931708879969
35,8.897881273947284,2.2880165050759738,0.3071876351311436
36,10.55665814187996,2.342704874987018,0.3231377925097478
37,5.7917374473648495,4.232242319028093,0.504723774221563
38,8.304789811971032,3.5091267028669266,0.4393362396755178
39,6.705761826348971,2.9237419093190433,0.36477546111292325
40,9.989944871383033,1.550047918352934,0.23169150405141548
41,11.962258525106526,3.0584004948424326,0.4110261969970154
42,8.267565683191858,2.2553497716047106,0.2998061195623797
43,12.077405589210105,2.6602511189792533,0.3674727766477549
44,15.178000237783012,3.3616673319117636,0.4638638319452535
45,9.038612545449078,2.3673137205042547,0.3168361229852887
46,12.061210172983369,3.2072475590542115,0.4281537575912419
47,8.348130395787532,3.397446320700518,0.4271852879892691
48,7.036284708880844,2.2596469259210488,0.292954527734566
49,9.566728487993618,2.2608647499461894,0.3081520068669989
50,19.53995611264653,2.502264110689176,0.39433860820740757
51,24.02497166996706,2.8584139127203727,0.4606073296076231
52,19.593830930208163,2.856820751283286,0.43405447393350893
53,17.470038128616256,2.7548584423767726,0.4100837046804524
54,12.449649134119992,3.2158496862334167,0.43142168617347476
55,12.203102939618232,3.1593803676002827,0.4236797805644256
56,7.742796454588615,2.6555789147667093,0.3411523979974237
57,12.426377226701765,3.103795045870743,0.41883264731918035
58,19.433003714214003,2.292699535202284,0.3704170339562895
59,43.91849526468964,1.607716616768847,0.44005479431175465
60,41.86392300149653,3.83481760977139,0.6752808633962052
61,41.14319293672468,2.7248671994398923,0.5476629801166826
62,42.102870042040195,3.992145910445684,0.6941840895061089
63,30.163013075899784,3.283110961873485,0.5443318513742351
64,48.80900881003387,3.0443729467578833,0.6287934750963156
65,23.79981190698626,2.0410867567157447,0.36845296447825493
66,10.72969677518038,2.223607120006954,0.31093470048795746
67,11.370307314580856,3.1401076153698337,0.41658124683423264
68,10.280563693843925,2.1759938490477695,0.30297092584961677
69,13.814098206228177,4.413628631190538,0.5726299562804655
70,7.954427324459066,2.7538075243730438,0.35332639551243583
71,12.972263823061933,3.673470213511903,0.48537921314653243
72,23.662886295183448,2.7760849999574395,0.44930440254596615
73,13.416404884366997,2.8801897911071204,0.39988064078392804
74,6.683555137628233,2.3134047981153913,0.2968280438637829
75,7.856968366679674,2.4863103388427708,0.3230243731651472
76,11.088725788585991,3.2465447793804234,0.4267315178790906
77,18.76684186879609,2.448045317707849,0.3837124273770393
78,19.805672780802915,2.465243707459072,0.3918068769049936
79,17.64926609574856,2.4831933752434066,0.3809655303588818
80,24.29953388507284,1.266450495300198,0.2853568043492651
81,29.850585893279497,3.3382386332181238,0.5485974625794711
82,13.752057895207727,2.752422874690141,0.3876822513259346
83,15.589442285270078,3.255205592656175,0.4544838096122143
84,23.64509217208932,2.6540719770132073,0.43564148259723723
85,11.615708913396725,2.2714525339197635,0.32152473936447806
86,9.635069037128792,2.9449395589797254,0.38456710796478366
87,8.394593117596834,1.9661945783507415,0.26843388043736516
88,9.54990668447605,2.021675236240914,0.28147526445023674
89,20.186607687135552,3.0142734562828664,0.45507765201041106
90,39.315878377053394,1.6639627171722584,0.4189078319301719
91,44.40651568128018,3.0297757560216,0.600966248771925
92,52.901987627753506,1.9527135094711778,0.5318609512175525
93,45.72235238972095,2.865382930133629,0.5905327405885834
94,22.57386382110287,3.044197216664515,0.47261237221532026
95,15.671205591528018,3.013061321394493,0.428065576929912
