Replication,Elective_App_WT,Elective_Scan_WT,Urgent_Scan_WT,Overtime,Objective_Value
0,17.633374172814676,0.08107668693040397,2.8435619627232307,0.7821528982610818,0.42091188974393834
1,29.3223823968829,0.08328210285660097,2.896589101965051,0.7726789282247019,0.4963812240093086
2,22.907477824292343,0.08135695943229743,3.025934341373864,0.7908093518550451,0.47256896148772504
3,17.968782467320608,0.08119616076091579,2.903644612260109,0.7831861103422145,0.4295842176359681
4,17.2640359135696,0.08256504774686259,2.925654541254493,0.7460929740650005,0.4278348453392071
5,20.404974668915433,0.08357276533322909,3.02472466794649,0.8709527775559313,0.45753870121378915
6,29.048430289339745,0.08394498150636752,2.9589457698991537,0.7745145748760898,0.5016790753618489
7,22.254385630902483,0.08234444300268315,2.8832103455710603,0.8250180894180564,0.4528232861997754
8,18.340766011864467,0.08397683846669128,2.907420436769981,0.695305935133836,0.4322179414577626
9,24.318143856140747,0.08141849169802579,2.8952694001132606,0.8421993673736313,0.46644745629913653
10,24.57804734424696,0.0818411009196377,2.8720392089083244,0.777990483663586,0.4654133685150933
11,17.197051954855286,0.08205681219579172,2.905851853843487,0.7881813143029942,0.4252358326980181
12,21.640076581947888,0.0806234677930642,2.9157531514742563,0.7715439461826126,0.4527825520404801
13,27.025556746446505,0.08561364317388308,2.9356772385801495,0.823745858157218,0.4870527690472775
14,21.788297894609695,0.08447964175695788,2.8494265895759097,0.8147966917980889,0.44629520377000004
15,20.14104675434947,0.08154699474853806,2.8760127776843283,0.8078027885784046,0.43944415835986267
16,24.379964195971475,0.08316630389306594,2.8540005572067084,0.6922987473485006,0.4622300075227978
17,21.592787821842382,0.08535742773694874,2.9162102527709757,0.7987469506032672,0.4525518603585353
18,20.730622427837794,0.08294029723173776,2.990108591412853,0.8787808231735541,0.4556308500052245
19,15.587752302751467,0.08543968881338677,2.88949532474033,0.7491308421520383,0.413839275979589
20,27.53073925210909,0.08072822787528999,2.846460853679416,0.7665938152269556,0.4801468761158225
21,17.657360935198113,0.0851049194644662,2.961546874973401,0.8116555209810676,0.4341641027859222
22,20.479886242274418,0.08489034657997552,2.9639671181518725,0.840951610027333,0.45123376457009545
23,19.483923258076604,0.08209265017452826,2.920904216613651,0.804716870544413,0.44052064663609974
24,29.35875527884132,0.08398895055779972,2.900394445244289,0.7516423826522909,0.4970205451789764
25,35.74601235418343,0.08337970452413294,2.9471542120486043,0.7734197910509725,0.5402354621771273
26,18.7110308185626,0.08302253902548085,2.938394961709664,0.764800992281317,0.4378635125226766
27,22.0466110267198,0.08304015197166804,2.921876616154853,0.735948417165898,0.455882784890538
28,28.588525303860163,0.08518248186576304,2.9057137454905995,0.7532572915045316,0.4930268763076469
29,25.610952058691215,0.08310527345382075,3.1019262249088784,0.7873389629037737,0.4971046126408152
30,22.32503295439936,0.08206208040483919,2.813516698344928,0.6610764784314852,0.4455000674018136
31,26.079857766366924,0.0830449806715265,2.9405311691809786,0.8964669132157231,0.4819629340738801
32,19.226434585394514,0.08001402396038161,2.913527237310881,0.7955742103823902,0.43816831159839853
33,22.242496455753272,0.0848801672494228,2.941529531322836,0.7828964688464414,0.4592324268280528
34,20.34702526446691,0.08420562899195139,2.964781105601173,0.8385115229099644,0.45053336846640163
35,19.67549311436747,0.08383155279836194,2.9396300605271017,0.8520530682854596,0.44374159272345254
36,19.18920593877879,0.07878382542331538,2.88503949776461,0.7404804332667502,0.4347814081173701
37,24.613403058109167,0.0866515145738605,2.990046194777953,0.7531477209207347,0.47873570651169217
38,20.926637291754126,0.08162671676332216,2.989825226868508,0.9244803948699634,0.45676612019821194
39,16.320728581149712,0.08253837158394023,2.899305464709267,0.810266073376266,0.4192922455697779
40,18.65203924420764,0.08334531627221974,3.019888399216542,0.8571962480793691,0.44656719858878824
41,40.23618920736344,0.08343912233151327,2.947643880015356,0.7888298869624855,0.567017112902679
42,24.18525745572523,0.0851801842486626,2.942535506090955,0.8372027701634683,0.47090825537354986
43,21.772562506663977,0.0814277265899623,2.9407042781347763,0.8759289678415852,0.4563435061419432
44,28.86249829515107,0.08498320302771147,2.8979264380944274,0.759605158109237,0.49379241154512127
45,24.17106414897138,0.08210672831481819,2.9433037197895024,0.8012276851505324,0.4709091284823934
46,17.174656918445017,0.07952977370131775,2.9406870855040554,0.8713421607147531,0.42897311020548046
47,27.097189795172643,0.08571549386434625,2.923716712495895,0.8343820177059036,0.486150208899381
48,21.21080170662621,0.08583938494607823,2.8961569579734365,0.8687190281651205,0.4480499896158553
49,22.33899273001494,0.0863458184769637,2.883985464041425,0.7860732384854016,0.45341302415945356
50,23.00791506182008,0.08277954404987643,2.9952561747877873,0.8799311816438512,0.4697581170110641
51,22.48260403324001,0.08430070383616957,2.9205909711261735,0.7573417303048706,0.45833513191028913
52,16.091253279517097,0.08041650534063458,2.9476563911943043,0.8160254655445347,0.42329864632030223
53,22.79351240653666,0.07985865946946824,2.9324017231193977,0.8524135852727404,0.4614980827664608
54,22.630957637343613,0.08474929312195065,3.054720776109985,0.9174243996421487,0.4741215007424404
55,21.70967524809855,0.07950979440429264,2.9340275641415223,0.8129496418364079,0.4552273201115494
56,20.450418370350413,0.08072772089391629,2.87051532037338,0.7075707737521841,0.4406748274840486
57,17.158086698712275,0.08273104890964701,3.0106355766758135,0.8465841129734852,0.4366465325198063
58,21.355946738588216,0.08491358923667597,2.8723355514909485,0.8251035708222844,0.44626712519694
59,25.40348555325973,0.08666343605215457,2.9326629744043133,0.8516417799078305,0.4770626651317872
60,16.467271567481443,0.07910339493390868,2.9377045811945877,0.7626401436978139,0.4244310937486929
61,18.15393579548895,0.0826235113668523,2.9478626130907717,0.8014528424000283,0.43559943198323425
62,23.843205900869066,0.08212880175105249,2.8995751730991426,0.7732184012010407,0.4640988638812682
63,26.94874763668428,0.08347860819184656,2.8571957281767966,0.727499564257044,0.47787540414276475
64,16.84177302322943,0.08509547446338356,2.8412273023723698,0.722863837758166,0.41594057143361307
65,45.54259338203352,0.08408316496478764,2.9126941117006186,0.8515945315246283,0.5947195444470936
66,22.44829487325877,0.08293139741805748,2.9987084594856217,0.7633282809737384,0.4668106316487522
67,23.696189690749367,0.08322767104805631,2.884108512364043,0.774747401488288,0.461505249533005
68,20.263920445716316,0.08155928671340168,2.875298334083826,0.7301917817552386,0.44009616675762536
69,23.94145354701666,0.08322814942266997,2.9787215141624657,0.8357830416130633,0.4734777091947382
70,20.22895320984673,0.08326766238511964,2.8627384609192115,0.7948295805254127,0.43849248698614285
71,26.599457207447898,0.08056854348224671,2.900264044242281,0.7337587961199666,0.4805816628966496
72,28.654650750294397,0.08467802154860235,2.941453974299655,0.7880677979395387,0.49739161668980925
73,17.74966126010515,0.08157769530266323,2.9251866975678684,0.8089878597728807,0.4306734897700715
74,20.110693692701105,0.08423350396088976,2.998504795017675,0.830455917504409,0.4528737095220101
75,31.966677709020647,0.08495635470059404,2.964227963036584,0.7664126519960696,0.5196365060656957
76,22.94187769352046,0.08414939093502372,2.8541742730684354,0.7568805160716029,0.4536892705801463
77,26.508044421544625,0.08102821546827982,2.924416096504767,0.8065644153767971,0.4827211005335334
78,18.79655121053014,0.07798746771083316,2.8879477119224033,0.8386151443452622,0.432767312498502
79,29.24963131191896,0.08558107131978353,2.917671581890819,0.8036701777402886,0.49829067960643403
80,44.159708816849054,0.08170843119580262,2.966642444426297,0.8544601291166699,0.59248234789369
81,24.98886599794174,0.08463189079896066,2.916108470876698,0.7975574223806816,0.47275530230738155
82,19.549807703479654,0.0848698234987453,2.816669682282663,0.7118048970030869,0.4293312010283097
83,25.1030475714327,0.08554172625782686,2.880958555800516,0.7632501688312172,0.46952940841096624
84,13.913392993071852,0.07770779135565622,2.883426506547174,0.7441912802878937,0.4031985383846375
85,19.9174869848064,0.08389985886087209,3.035954898605672,0.8252942021055293,0.455884792214954
86,17.499488602514763,0.08093642646306484,2.9593866303868057,0.8356098619054971,0.43298435934366153
87,18.005403641326218,0.08184325949703496,2.826661876920943,0.776757852682913,0.4212485635546656
88,20.474078259084585,0.08270231101106795,2.9108925026103076,0.7571560317996755,0.4453020137369662
89,19.142202036154103,0.08289542717341634,2.8706243698635716,0.8215166191192154,0.4328999421048062
90,17.949099898912102,0.08092615057180781,3.007674521916299,0.8145105445472456,0.4410259383413671
91,19.656826661919965,0.08288513244814079,2.9642075392036795,0.8451074678244342,0.4463613138515197
92,19.031699121797864,0.08193880723972387,2.868105279559662,0.7581430245941112,0.4319622877395529
93,20.96137726175764,0.08011191480911903,2.849293782507117,0.8137303643992891,0.44135830080490374
94,20.62501088951386,0.08036460864066879,2.956426531455156,0.7768597939608487,0.45125975878974267
95,28.573758438447797,0.08423152275983745,3.000093587127945,0.8665980251959837,0.5034256273700561
96,19.13262254674581,0.08281767889825008,2.886706711008353,0.7589376656415865,0.4346298481283833
97,20.533998695673283,0.08249326034210998,2.8365833308213952,0.7857666947332611,0.43740210835916266
98,19.014338943957554,0.08334280411155756,3.0477785531514554,0.8902487910793178,0.4518226504134011
99,35.32034280261385,0.08223642046551757,3.055714732460826,0.8866236165679557,0.5497639948921583
100,31.48779466910961,0.08507109871650988,2.9187944815098783,0.78792517984815,0.5117378471664326
101,27.03721464404205,0.08186274211268173,2.991539398256813,0.8735700656339007,0.4933290679256104
